,count,missing,missing_pct,mean,median,std,min,25%,50%,75%,max,skew,kurtosis
2017 NAICS Code,1016.0,0,0.0,424917.37696850393,423700.0,164942.11349507226,111110.0,325588.25,423700.0,532111.25,813990.0,0.3717352164740403,-0.024022644342661437
Supply Chain Emission Factors without Margins,1016.0,0,0.0,0.264994094488189,0.159,0.31476825780679674,0.026,0.103,0.159,0.30225,3.846,4.340821174856464,31.240534741271098
Margins of Supply Chain Emission Factors,1016.0,0,0.0,0.01694488188976378,0.0,0.023367125941466598,0.0,0.0,0.0,0.03025,0.125,1.5560620348257532,2.980707546156757
Supply Chain Emission Factors with Margins,1016.0,0,0.0,0.28189763779527555,0.173,0.3214166354609928,0.029,0.108,0.173,0.32925000000000004,3.924,4.2360735427916705,30.299196529260698
