,2017 NAICS Title,Supply Chain Emission Factors with Margins
285,Cement Manufacturing,3.924
30,Beef Cattle Ranching and Farming,2.893
31,Cattle Feedlots,2.893
33,Dual-Purpose Cattle Ranching and Farming,2.893
32,Dairy Cattle and Milk Production,1.724
290,Lime Manufacturing,1.623
291,Gypsum Product Manufacturing,1.623
653,Pipeline Transportation of Crude Oil,1.619
654,Pipeline Transportation of Natural Gas,1.619
655,Pipeline Transportation of Refined Petroleum Products,1.619
